family,name,class,cap-shape,Cap-surface,cap-color,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type
Wax Gill Family,Orange-red Wax Cap,p,"[x, f]","[s, y]",[o],,"[o, y]",,,[f],[f]
Wax Gill Family,Blackening Wax Cap,p,"[b, x]","[s, i]","[e, o, k]",,"[y, o, k]",,,[f],[f]
Wax Gill Family,Meadow Wax Cap,e,"[x, f, s]","[s, d]","[o, b]",,[w],,,[f],[f]
Wax Gill Family,Scarlet Hood,e,[x],"[h, s, d]","[o, p, e]",,"[o, e]",,,[f],[f]
Wax Gill Family,Parrot Wax Cap,p,"[b, f]","[t, w, d]","[r, p, y]",[t],"[r, y]",,,[f],[f]
Wax Gill Family,Herald of Winter,e,"[x, f]",[t],[n],[t],"[w, o]",,,[f],[f]
Russula Family,Common Yellow Russula,e,"[x, f, s]",,[y],,"[g,  w]",,,[f],[f]
Russula Family,Yellow-gilled Russula,e,[x],,[y],,[w],,,[f],[f]
Russula Family,Yellow Swamp Russula,e,[x],"[h, t]",[y],,[w],,,[f],[f]
Russula Family,Geranium-scented Russula,p,"[x, f, s]",[t],"[n, y]",,[y],,,[f],[f]
Russula Family,Stinking Russula,p,[x],[t],[n],,[w],,,[f],[f]
Russula Family,Fragile Russula,p,"[f, s]",,[u],,"[w, y]",,,[f],[f]
Russula Family,Birch Russula,p,"[x, f]",,"[b, p, e, y]",,[w],,,[f],[f]
Russula Family,Bare-toothed Russula,e,"[x, f]",,"[n, p, e]",[s],[w],,,[f],[f]
Russula Family,The Charcoal Burner,e,[x],[e],"[l, y]",,[w],,,[f],[f]
Russula Family,Blackish Purple Russula,e,"[x, f]",[s],"[u, k]",,[w],,,[f],[f]
Russula Family,Blackening Russula,e,"[x, f, s]","[s, t]","[k, n, w]",,[w],,,[f],[f]
Russula Family,The Sickener,p,"[x, f]","[h, t]",[e],,[w],,,[f],[f]
Russula Family,Beechwood Sickener,p,[x],,"[e, p, w]",,[y],,,[f],[f]
Russula Family,Crab-scented Russula,e,"[x, f, s]",[s],"[n, r, u, y]",,"[n, p, w]",,,[f],[f]
Russula Family,Grass-green Russula,p,[f],,"[r, y]",,[w],,,[f],[f]
Russula Family,Peppery Milk Cap,e,[s],,[w],,[w],,,[f],[f]
Russula Family,Fleecy Milk Cap,p,"[x, f, s]",[k],[w],,[w],,,[f],[f]
Russula Family,Oak Milk Cap,p,"[x, s]",[d],"[n, e]",,"[e, n]",,,[f],[f]
Russula Family,Slimy Milk Cap,p,[s],"[h, t]","[g, r, n]",[t],"[g, r, n]",,,[f],[f]
Russula Family,Ugly Milk Cap,p,"[x, f, s]",[t],"[g, r, k, n]",,"[g, r, n]",,,[f],[f]
Russula Family,Rufous Milk Cap,p,"[f, s]",[d],"[n, e]",,"[n, e]",,,[f],[f]
Russula Family,Sweet Milk Cap,p,[s],,"[e, n]",,"[e, n]",,,[f],[f]
Russula Family,Small Brown Milk Cap,p,"[f, s]",[w],"[n, o]",,[n],,,[f],[f]
Russula Family,Coconut-scented Milk Cap,e,"[f, s]",[d],"[g, u, n, p]",,"[g, n]",,,[f],[f]
Russula Family,Woolly Milk Cap,p,[s],[t],[p],,[p],,,[t],[f]
Russula Family,Saffron Milk Cap,e,[s],[t],"[w, p, o]",,[w],,,[f],[f]
Russula Family,Spruce Milk Cap,p,[s],,"[o, y, r]",,[w],,,[t],[f]
Pluteus Family,Fawn Pluteus,e,[x],[s],[n],[i],"[w, n]",,,[f],[f]
Pluteus Family,Veined Pluteus,e,[x],[y],[n],[y],[n],,,[f],[f]
Entoloma Family,Silky Nolanea,p,"[x, f]",[k],"[n, w]",,[n],,,[f],[f]
Entoloma Family,Striated Nolanea,p,"[b, f]",[t],[n],[i],"[n, g]",,,[f],[f]
Entoloma Family,White Leptonia,p,"[x, s]",[d],[w],[h],[w],,,[f],[f]
Entoloma Family,Blue Leptonia,p,"[x, f]",[i],"[l, k]",,[w],,,[f],[f]
Entoloma Family,Livid Entoloma,p,[x],"[s, h]","[w, y, g, n]",[i],[n],,,[f],[f]
Entoloma Family,The Miller,e,"[x, s]",[l],[w],,[w],,,[f],[f]
Entoloma Family,Apricot Fungus,p,"[x, f]",[w],[p],,[p],,,[f],[f]
Bolbitius Family,Egg Yolk Fungus,p,"[c, f]","[h, t]","[y, n]",,[y],,,[f],[f]
Bolbitius Family,Brown Bell Cap,p,[b],[g],"[n, o, y, w]",,[n],,,[f],[f]
Bolbitius Family,Spring Agaric,e,[x],,"[n, w]",,"[n, w]",,[w],[t],
Stropharia Family,Shaggy Pholiota,p,[x],[y],"[y, n]",[y],"[y, n]",,,[t],
Stropharia Family,Charcoal Pholiota,p,[x],"[h, t]","[n, o]",[y],"[n, o]",,,[t],[z]
Stropharia Family,Brown Stew Fungus,e,[x],[h],[n],"[y, s]",[n],,,[t],[r]
Stropharia Family,Sulphur Tuft,p,"[b, x]",[s],[y],,[y],[u],[w],[t],[z]
Stropharia Family,Brick Caps,p,[x],[e],[e],,"[y, e, n]",,[w],[t],[z]
Stropharia Family,Verdigris Toadstool,p,"[b, x]","[h, t, y]","[r, l]",[y],"[w, l, n]",,,[t],[e]
Stropharia Family,Dung Roundhead,p,[p],[t],[n],[t],[y],,,[t],[e]
Stropharia Family,Magic Mushroom,p,[b],[t],"[n, y]",,[n],,,[t],[f]
Cortinarius Family,Red-banded Cortinarius,p,[x],"[i, e]",[n],,[n],,"[e, n]",[f],[f]
Cortinarius Family,Purple Cortinarius,p,[x],,"[g, u, n]",,"[g, u, n]",,[u],[f],[f]
Cortinarius Family,Blood-red Cortinarius,p,[x],[i],[e],,[e],,,[f],[f]
Cortinarius Family,Red-staining Inocybe,p,[c],"[k, e]","[w, y]",,[w],,,[f],[f]
Cortinarius Family,Straw-coloured Inocybe,p,[c],[i],[y],,[w],,,[f],[f]
Cortinarius Family,Common White Inocybe,p,"[c, f]",,"[w, u]",[i],"[w, u]",,,[f],[f]
Cortinarius Family,Poison Pie,p,[x],"[s, t]",[n],[y],[n],,,[f],[f]
Cortinarius Family,Dark-centred Hebeloma,p,[x],[t],[n],,[w],,[n],[t],[z]
Cortinarius Family,Rusty Wood Rotter,p,"[b, x, f]","[d, k]",[n],[i],"[y, n]",,,[t],
Cortinarius Family,Spectacular Gymnopile,p,[x],"[d, e, y, i]","[y, o]",,"[o, y]",,,[t],[r]
Cortinarius Family,Moss Pixy Cap,p,[b],[h],[n],[t],[n],,,[f],[f]
Mushroom Family,Field Mushroom,e,"[p, x, f]","[s, y]",[w],,[w],,[w],[t],[e]
Mushroom Family,Cultivated Mushroom,e,"[f, x]","[i, y]",[n],,[w],,,[t],"[l, r]"
Mushroom Family,Horse Mushroom,e,"[p, x, f]",[s],"[w, n]",,[w],,,[t],"[l, r]"
Mushroom Family,Yellow-staining Mushroom,p,[x],[y],[w],,[w],,,[t],[l]
Mushroom Family,Bleeding Brown Mushroom,e,"[p, x]","[i, y]",[n],[y],[w],,,[t],"[l, p]"
Ink Cap Family,Shaggy Ink Cap,e,"[p, f]","[y, s]",[w],[s],[w],,,[t],[e]
Ink Cap Family,Common Ink Cap,p,"[p, b]","[s, y]","[g, n]",[s],[w],,,[t],[z]
Ink Cap Family,Magpie Ink Cap,p,"[p, b]",[y],"[w, n]",,[w],,,[f],[f]
Ink Cap Family,Rusty Carpet Ink Cap,p,[b],[y],[n],[s],[w],,,[f],[f]
Ink Cap Family,Glistening Ink Cap,e,[b],[y],[n],,[w],,,[f],[f]
Ink Cap Family,Fairies' Bonnets,e,"[p, b]",[g],"[w, g]",,[w],,,[f],[f]
Ink Cap Family,Fairy Parasol,e,"[x, f]",[w],"[n, g]",,[w],,,[f],[f]
Ink Cap Family,Common Crumble Cap,e,"[x, f]",,"[n, y, w]",,[w],,,[f],[f]
Ink Cap Family,Two-toned Crumble Cap,e,"[x, f]",[h],[n],[s],[w],,[w],[f],[f]
Ink Cap Family,Hay Cap,p,[x],,[n],[s],[n],,,[f],[f]
Ink Cap Family,Petticoat Fungus,p,[b],,"[g, n, k]",,"[g, n]",,[w],[f],[f]
Ink Cap Family,Egg-shell Toadstool,p,[b],"[t, h]",[n],,[w],,,[t],
Ink Cap Family,Weeping Widow,p,[x],[i],"[n, y]",[i],[n],,[k],[t],[z]
Bolete Family,Cep,e,"[x, p]","[w, t]",[n],,[n],,,[f],[f]
Bolete Family,Bay Bolete,e,[x],"[h, t]",[n],,[n],,,[f],[f]
Bolete Family,Red-cracked Bolete,e,[x],[d],"[n, y, e]",,"[e, y]",,,[f],[f]
Bolete Family,Yellow-cracked Bolete,e,[x],[d],"[n, y]",,[y],,,[f],[f]
Bolete Family,Dotted-stemmed Bolete,p,[x],"[e, k, s, h]",[n],,[y],,,[f],[f]
Bolete Family,Lurid Bolete,p,[x],[e],"[n, y]",,"[u, e]",,,[f],[f]
Bolete Family,Parasitic Bolete,e,[x],"[d, k]",[n],,"[n, y]",,,[f],[f]
Bolete Family,Bitter Bolete,p,"[x, p]",,[n],,[n],,,[f],[f]
Bolete Family,Peppery Bolete,e,[x],"[s, t]","[n, o]",,"[e, n]",,,[f],[f]
Bolete Family,Orange Birch Bolete,e,"[p, x]",[d],"[n, o, e]",[y],[w],,,[f],[f]
Bolete Family,Brown Birch Bolete,e,[x],,"[g, n]",[y],[w],,,[f],[f]
Bolete Family,Larch Bolete,e,[x],"[t, h]",[y],,[y],,[y],[t],
Bolete Family,Slippery Jack,e,[x],"[t, h, s]",[n],,[n],,[w],[t],[p]
Bolete Family,Shallow-pored Bolete,e,[x],"[h, t]",[n],[s],[n],,,[f],[f]
Paxillus Family,Brown Roll-rim,p,"[x, f, s]",[t],"[r, n]",,[n],,,[f],[f]
Paxillus Family,Velvet Roll-rim,p,"[f, s]","[d, k, s]",[n],[k],"[k, n]",,,[f],[f]
Paxillus Family,False Chanterelle,p,[s],[d],"[o, y]",,"[o, y]",,,[f],[f]
Chanterelle Family,Chanterelle,e,"[x, f, s]",[w],[y],,[y],,,[f],[f]
Chanterelle Family,Tubed Chanterelle,e,[s],,"[n, y]",,"[o, y]",,,[f],[f]
Chanterelle Family,Horn of Plenty,e,"[s, o]",[l],[n],,[n],,,[f],[f]
Oyster Mushroom Family,Oyster Mushroom,e,[f],,"[l, g, b, w]",,[w],,,[f],[f]
Oyster Mushroom Family,Branched Oyster Mushroom,e,"[s, o]",,[n],,[n],,,[f],[f]
Tricholoma Family,Olive-brown Panellus,p,[o],"[e, t, k]","[y, o, r, n]",,"[y, n]",,,[f],[f]
Crepidotus Family,Soft Slipper Toadstool,p,[o],"[s, t]","[n, w]",[f],[f],,,[f],[f]
Hydnum Family,Hedgehog Fungus,e,[f],[e],[b],,[w],,,[t],[f]
Ear-Pick Family,Ear-pick Fungus,p,"[x, o]",[k],[n],,[n],,,[f],[f]
Bracket Fungi,Hairy Stereum,p,[o],[s],"[y, o, g, n, r]",[f],[f],,,[t],[f]
Bracket Fungi,Silver Leaf Fungus,p,[o],[l],[g],[f],[f],,,[f],[f]
Bracket Fungi,Dryad's Saddle,e,[o],[y],[y],[k],"[k, n]",,,[f],[f]
Bracket Fungi,Fuzzy Polypore,p,"[f, x]","[g, s, d]","[o, e, n, k]",,[n],,,[f],[f]
Bracket Fungi,Brown Goblet,p,"[f, s]",[k],"[n, y]",[k],[n],,,[t],[f]
Saddle-Cup Family,White Saddle,p,[o],,[w],[g],[w],,,[t],[f]
Bracket Fungi,Elfin's Saddle,p,[o],,"[g, k]",[g],"[g, n]",,,[f],[f]
Bracket Fungi,Turban Fungus,p,[o],,"[n, e]",[g],[n],,,[f],[f]
Morel Family,Common Morel,e,"[p, c, o]",,"[n, g]",,[n],,,[f],[f]
Jelly Discs Family,Jelly Babies,p,"[x, f, s]",[s],[y],,[y],,,[f],[f]
